,dipole_smiles,G_act_min,G_act_mean,G_act_st_dev,G_r_min,G_r_mean,G_r_std_dev
134,COC(=O)[C-](C)[O+]=C(C#N)C(C)=O,5.184418,11.082940261904762,3.203989778728455,-52.097878,-37.02779785714286,7.065165158486293
135,COC(=O)C(=[NH+][C-](C#N)C#N)C(C)=O,16.18777,21.353952428571425,3.816561812551535,-24.67842,-10.097068538095238,7.157532053524707
136,C[N-][NH+]=NC#N,21.750172,30.037925714285716,3.392718956515705,-16.115892,-4.435924466666667,5.1556936472313994
137,CNC(=O)[CH-][N+](C)=C(C#N)c1ccccc1,6.746646,20.049754190476186,4.700154250192292,-36.739574,-23.433895261904766,5.759701742386267
138,CNC(=O)[C-](C)[NH+]=C(C)C,3.8390439,20.21700228095238,5.871280765823638,-37.366608,-21.182564499999994,6.568522922647896
139,CC(=O)[CH-][NH+]=C(C(C)=O)C(C)=O,17.379908,24.389999857142854,3.9364046349042066,-22.464373,-7.372483926190475,6.618890118128289
140,C[N-][NH+]=CC(=O)NC,9.911783,23.12234057142857,4.88974381955398,-26.041172,-13.427934590476193,5.4214056074127015
141,COC(=O)C(=[O+][C-](C)C)C(=O)OC,9.814192,18.234351619047622,3.71477943336809,-47.623722,-30.84777090476191,6.88401968739896
142,CC(C#N)=[NH+][N-]C#N,19.221336,24.630111380952382,3.4625732736969117,-19.27322,-6.232581214285716,6.230322069413294
143,CNC(=O)[C-]([NH+]=C(C)C(C)=O)C(=O)OC,15.395874,26.772939,4.619352282029581,-26.98417,-10.143793039523812,7.31491186697097
144,CC(c1ccccc1)=[N+](C)[C-](C)c1ccccc1,12.70196,28.38241173333334,6.555952482580245,-37.285267,-19.938196499999997,8.655496181705626
145,N#CC(=[NH+][O-])c1ccccc1,18.428493,24.670551687499998,2.5597303256132986,-9.6516285,-1.6069343906250002,3.797228042862275
146,CNC(=O)C(C)=[NH+][C-](C(C)=O)C(C)=O,20.228222,29.463253349999995,5.174260323877488,-24.20287,-8.03202175,6.802636924491674
147,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O,26.51373,36.775656157894744,5.944466900791677,-27.642231,-10.886163852894736,7.056775654985647
148,CNC(=O)[C-]([NH+]=Cc1ccccc1)C(=O)OC,9.200434,21.59597847619047,4.827781157268426,-23.081768,-8.7984235,6.217816428786684
149,CNC(=O)[N-][N+](C)=CC(C)=O,17.172995,25.195400000000003,3.2662293287976576,-28.12181,-13.512205404761906,6.394621422860641
