,dipole
200,CNC(=O)[CH-][NH+]=C(C)C(=O)NC
201,CNC(=O)[C-]([O+]=C(C(C)=O)C(=O)OC)c1ccccc1
202,COC(=O)[C-]([O+]=CC#N)C(=O)OC
203,CNC(=O)C(=[NH+][N-]c1ccccc1)C(=O)OC
204,COC(=O)[N-][NH+]=CC#N
205,CNC(=O)[C-]([O+]=C(C)C)C(=O)NC
206,COC(=O)C(=[O+][C-](C#N)C#N)C(=O)OC
207,N#C[N-][NH+]=Cc1ccccc1
208,CC=[N+](C)[C-](C#N)C#N
209,COC(=O)[C-](C)[O+]=C(c1ccccc1)c1ccccc1
210,COC(=O)C(=[NH+][N-]C#N)C(C)=O
211,COC(=O)C(=[NH+][N-]C(C)=O)C(C)=O
212,CNC(=O)C=[N+](C)[N-]C(=O)NC
213,CNC(=O)[C-]([O+]=C(c1ccccc1)c1ccccc1)C(C)=O
214,CNC(=O)C(=[O+][N-]c1ccccc1)c1ccccc1
215,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)C(=O)NC
216,COC(=O)[C-](C)[N+](C)=C(C)C
217,CC(=O)[C-]([O+]=C(C#N)c1ccccc1)c1ccccc1
218,COC(=O)[C-](c1ccccc1)[N+](C)=C(C)C(C)=O
219,CNC(=O)[N-][O+]=CC#N
220,CC(=O)C(C)=[N+](C)[NH-]
221,CNC(=O)C(c1ccccc1)=[N+](C)[O-]
222,COC(=O)C(C(C)=O)=[N+](C)[C-](C#N)C(=O)OC
223,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)NC
224,CNC(=O)[C-]([NH+]=C(C#N)c1ccccc1)c1ccccc1
225,C=[N+](C)[C-](C)C(=O)NC
226,CNC(=O)C=[O+][CH-]c1ccccc1
227,CNC(=O)C(=[NH+][C-](C(C)=O)C(C)=O)C(=O)OC
228,COC(=O)C(C)=[NH+][C-](C(C)=O)C(C)=O
229,CNC(=O)[C-](C#N)[NH+]=C(C(C)=O)C(=O)OC
230,CNC(=O)[C-]([O+]=C(C#N)C(=O)OC)c1ccccc1
231,CNC(=O)C=[N+](C)[CH-]C#N
