,dipole_smiles
123,CN=[NH+][N-]C(=O)NC
124,CC(=O)C(C)=[N+](C)[C-](c1ccccc1)c1ccccc1
125,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(C)=O)C(C)=O
126,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(=O)OC)C(=O)OC
127,CNC(=O)[c-]1c(=O)on[n+]1C
128,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)OC
129,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(C)=O
130,CNC(=O)N=[N+](C)[O-]
131,CNC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
132,COC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
133,COC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)c1ccccc1
134,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
135,CNC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
136,CC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
137,CC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
138,CC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
139,COC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
140,COC(=O)[N-][N+](C)=N
141,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)c1ccccc1
142,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
143,COC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
144,C[N+]([O-])=Nc1ccccc1
145,CC(=O)[c-]1[nH+]noc1=O
146,CNC(=O)N=[NH+][O-]
147,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)c1ccccc1
148,CNC(=O)[N-][NH+]=NC(C)=O
149,CC(=O)[N-][N+](C)=N
150,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)c1ccccc1
151,COC(=O)[N-][N+](C)=C(c1ccccc1)c1ccccc1
152,CC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
153,COC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
154,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
155,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)C(=O)NC
156,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(C)=O
157,CNC(=O)[N-][NH+]=NC(=O)OC
158,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)c1ccccc1
159,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C
160,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
161,C[N+]([O-])=C(c1ccccc1)c1ccccc1
162,CNC(=O)[c-]1[nH+]noc1=O
163,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)C
164,CC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
165,COC(=O)N=[NH+][O-]
166,COC(=O)[N-][NH+]=Nc1ccccc1
167,C[c-]1c(=O)on[n+]1C
168,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)C(C)=O
169,COC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
